27.02.2025 21:57:04 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 21:57:04 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 21:57:04 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 21:57:04 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:04 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:07 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:07 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:07 | FollowMeController | INFO | Машина зарегистрирована. ID: fae9ac79-8494-473f-8d5b-5ce05c22e8cc
27.02.2025 21:57:07 | FollowMeController | ERROR | Маршрут не найден.
27.02.2025 21:57:07 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:07 | FollowMeController | INFO | Машина зарегистрирована. ID: c6e349a2-7e82-469f-8db4-b6d6d3e5a9f9
27.02.2025 21:57:07 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 21:57:07 | FollowMeController | INFO | Ответ отправлен: {"CarId":"c6e349a2-7e82-469f-8db4-b6d6d3e5a9f9","TimeToWait":10}
27.02.2025 21:57:07 | FollowMeController | INFO | Начало обработки маршрута для машины c6e349a2-7e82-469f-8db4-b6d6d3e5a9f9.
27.02.2025 21:57:07 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 21:57:07 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 21:57:07 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 21:57:07 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:07 | FollowMeController | ERROR | Неверный формат VehicleId: invalid-guid
27.02.2025 22:02:32 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:02:32 | FollowMeController | ERROR | Неверный тип FollowType.
27.02.2025 22:02:32 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:02:32 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:02:32 | FollowMeController | INFO | Машина зарегистрирована. ID: beaa644a-d6e3-4df7-aa53-8df1364d98b2
27.02.2025 22:02:32 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 22:02:32 | FollowMeController | INFO | Ответ отправлен: {"CarId":"beaa644a-d6e3-4df7-aa53-8df1364d98b2","TimeToWait":10}
27.02.2025 22:02:32 | FollowMeController | INFO | Начало обработки маршрута для машины beaa644a-d6e3-4df7-aa53-8df1364d98b2.
27.02.2025 22:02:32 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 22:02:32 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 22:02:32 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 22:03:05 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:03:05 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:03:05 | FollowMeController | INFO | Машина зарегистрирована. ID: 366a0fce-893b-48df-a5d4-aeec9b4546ca
27.02.2025 22:03:05 | FollowMeController | ERROR | Маршрут не найден.
27.02.2025 22:03:05 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:03:05 | FollowMeController | INFO | Машина зарегистрирована. ID: b39df377-d4ba-4960-8c88-6f8ed987e97f
27.02.2025 22:03:05 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 22:03:05 | FollowMeController | INFO | Ответ отправлен: {"CarId":"b39df377-d4ba-4960-8c88-6f8ed987e97f","TimeToWait":10}
27.02.2025 22:03:05 | FollowMeController | INFO | Начало обработки маршрута для машины b39df377-d4ba-4960-8c88-6f8ed987e97f.
27.02.2025 22:03:05 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 22:03:05 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 22:03:05 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 22:03:05 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:03:05 | FollowMeController | ERROR | Неверный формат VehicleId: invalid-guid
27.02.2025 22:07:49 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:07:49 | FollowMeController | ERROR | Неверный формат AirplaneId.
27.02.2025 22:35:12 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:35:12 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:35:12 | FollowMeController | INFO | Машина зарегистрирована. ID: f4a4bbf7-c446-4ce1-b582-c436e8f1dcf9
27.02.2025 22:35:12 | FollowMeController | ERROR | Маршрут не найден.
27.02.2025 22:35:12 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 22:35:12 | FollowMeController | INFO | Машина зарегистрирована. ID: 2b721c0f-bd34-45a8-947e-ee4c84c592c6
27.02.2025 22:35:12 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 22:35:12 | FollowMeController | INFO | Ответ отправлен: {"CarId":"2b721c0f-bd34-45a8-947e-ee4c84c592c6","TimeToWait":10}
27.02.2025 22:35:12 | FollowMeController | INFO | Начало обработки маршрута для машины 2b721c0f-bd34-45a8-947e-ee4c84c592c6.
27.02.2025 22:35:12 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 22:35:12 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 22:35:12 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
